layer,stage,scope,count,nonfinite,mae,rmse,max_abs,p95_abs,p99_abs,relative_l2,cosine,gated,pass
0,attention,valid,69120,0,1.3883038465994306e-07,1.9568993908198513e-07,7.62939453125e-06,3.5762786865234375e-07,5.960464477539062e-07,1.559561330409465e-07,0.9999999999999883,True,True
0,attention,all,98304,0,1.2942664776952975e-07,1.8573639655857458e-07,7.62939453125e-06,3.5762786865234375e-07,5.364418029785156e-07,1.5622596821065273e-07,0.999999999999988,False,True
0,encoder,valid,69120,0,0.004854622640307214,0.006208567542480703,0.031830430030822754,0.012434998154640203,0.016934113353490828,0.009149803815272691,0.9999581409691503,True,True
0,encoder,all,98304,0,0.0040639799880097804,0.005417478131988155,0.031830430030822754,0.011344881355762478,0.016039254069328324,0.008621817969941265,0.9999628361299163,False,True
1,attention,valid,69120,0,0.006464780826468929,0.008195080823706836,0.09584236145019531,0.016036081314086917,0.021610639095306375,0.006564779269061545,0.9999784994373475,True,True
1,attention,all,98304,0,0.005920484718302532,0.007611740193214336,0.09584236145019531,0.01505228281021118,0.020886041671037688,0.006192549020430872,0.9999808471580586,False,True
1,encoder,valid,69120,0,0.008121207958095476,0.010506741797501338,0.056047677993774414,0.021340303868055348,0.029567390680313103,0.013935258145457704,0.9999029340120892,True,True
1,encoder,all,98304,0,0.007510725832228597,0.009737356027774532,0.056047677993774414,0.019663244485855096,0.028033923953771602,0.013684428548803959,0.9999063898164877,False,True
2,attention,valid,69120,0,0.00906537329479104,0.011586409798433386,0.13825607299804688,0.022751779854297643,0.030690490454435344,0.009686676661937087,0.9999532807286563,True,True
2,attention,all,98304,0,0.009186591379545325,0.011743403440046743,0.17392921447753906,0.02302172025665639,0.031353559494018565,0.009394428660506356,0.9999560308892957,False,True
2,encoder,valid,69120,0,0.009672266984065809,0.012496047301737628,0.06715691089630127,0.02531208097934723,0.03484905011951922,0.01712389848746621,0.9998534217257437,True,True
2,encoder,all,98304,0,0.009371235836725944,0.01209513418067345,0.06864631175994873,0.02436248399317264,0.033883177042007454,0.017428267232503004,0.9998481566970561,False,True
3,attention,valid,69120,0,0.011214485512666923,0.014229305987642148,0.10704994201660156,0.028002023696899414,0.03819460187107324,0.012666837351347267,0.9999198248756495,True,True
3,attention,all,98304,0,0.011656486360926385,0.014942605133610933,0.2837982177734375,0.02929878830909729,0.04072374016046525,0.012935567880617211,0.9999163806168933,False,True
3,encoder,valid,69120,0,0.011033799839291264,0.01417784881799681,0.07795298099517822,0.028356309235095984,0.038995969891548146,0.019064947863911226,0.9998182474426013,True,True
3,encoder,all,98304,0,0.011096632027899863,0.014431177861642584,0.1403789520263672,0.02855190038681029,0.0407641875743866,0.019894848742780337,0.9998020779709258,False,True
4,attention,valid,69120,0,0.012159322911688579,0.015554011283103901,0.14081573486328125,0.03076144456863404,0.04242805540561674,0.013982656891107961,0.999902405236756,True,True
4,attention,all,98304,0,0.012666041226023772,0.016621272775876234,0.40642356872558594,0.03224224671721458,0.046658656001091,0.014439554069961995,0.9998959531647399,False,True
4,encoder,valid,69120,0,0.0126229068076004,0.016272399209376624,0.12174463272094727,0.0326589971780777,0.04527146689593791,0.021191371389549934,0.9997754377211284,True,True
4,encoder,all,98304,0,0.01288370973850698,0.01695109761823177,0.17565250396728516,0.03341371566057202,0.049524647444486626,0.02263965042447853,0.9997436903877558,False,True
5,attention,valid,69120,0,0.013891324770629918,0.01779510805998811,0.17785024642944336,0.035352459549903875,0.04857289314270019,0.01690711730064499,0.9998571812898227,True,True
5,attention,all,98304,0,0.014837162703035034,0.019797159672499554,0.4375190734863281,0.03782427073456345,0.05786278307437899,0.01845868632637579,0.9998297808691846,False,True
5,encoder,valid,69120,0,0.014285947625531089,0.01828764523891236,0.12383460998535156,0.036348196864128116,0.04997601211071008,0.023407614804409334,0.999726008078617,True,True
5,encoder,all,98304,0,0.01514338516946386,0.020248264825973195,0.22789955139160156,0.03905614875257014,0.05988352807238699,0.026300860565193433,0.9996540827593113,False,True
6,attention,valid,69120,0,0.014927751030261418,0.019186395059506235,0.1879582405090332,0.03787859305739403,0.05178363338112828,0.018460843085631277,0.9998299491294858,True,True
6,attention,all,98304,0,0.016395680113436246,0.02254450440036196,0.5977687835693359,0.04222614467144011,0.06848075591027744,0.021535388389328305,0.9997684651215427,False,True
6,encoder,valid,69120,0,0.01513961969336932,0.019342993104827375,0.1265721321105957,0.03854706287384033,0.05221689492464064,0.024991799020213246,0.9996876588900001,True,True
6,encoder,all,98304,0,0.016760277079894914,0.02312343819031356,0.5732097625732422,0.04316353648900985,0.07160980433225636,0.03005776931047262,0.9995481730838214,False,True
7,attention,valid,69120,0,0.01562457674714029,0.020045227230134927,0.2577047348022461,0.03912789151072502,0.05408805668354033,0.018843366133343187,0.999823073629709,True,True
7,attention,all,98304,0,0.017947612075850827,0.025650005665684338,0.7423734664916992,0.04630444496870038,0.0854866392165423,0.024657648862497217,0.9996962408561709,False,True
7,encoder,valid,69120,0,0.014856894050035407,0.01892157416660108,0.15342378616333008,0.03733623325824738,0.05047047436237331,0.02557846076707097,0.9996728348390742,True,True
7,encoder,all,98304,0,0.01773357740789609,0.02659326382925334,1.4984416961669922,0.04528406411409376,0.0922674250602723,0.03441436445702267,0.9994079873703582,False,False
8,attention,valid,69120,0,0.0167979820435322,0.021661723926217416,0.3663911819458008,0.04205082356929779,0.05742905437946319,0.01928383742386445,0.999814991171983,True,True
8,attention,all,98304,0,0.019260062651317966,0.02857490633618448,1.4196243286132812,0.04903873801231379,0.09614222995936872,0.026654848288047636,0.9996448487235278,False,False
8,encoder,valid,69120,0,0.015385867979102841,0.01977207283722197,0.2762897461652756,0.03903458118438722,0.05371604442596434,0.027624558867288464,0.9996185001936673,True,True
8,encoder,all,98304,0,0.01905164829859866,0.030152028251899353,2.1743860244750977,0.049317158758640255,0.11142727851867677,0.038520292589877374,0.9992584733911926,False,False
9,attention,valid,69120,0,0.01753668994025938,0.02263157213241639,0.4247550964355469,0.04414985477924347,0.06034626454114908,0.023580715805433906,0.9997225795793931,True,True
9,attention,all,98304,0,0.01969556862905808,0.02918595216219599,1.3164405822753906,0.050029265508055684,0.10239957973361023,0.03159241380368961,0.9995011203419131,False,False
9,encoder,valid,69120,0,0.016851000016297097,0.021917255117639773,0.2940589189529419,0.04351802170276642,0.05929722011089322,0.029245309322628598,0.9995722652791618,True,True
9,encoder,all,98304,0,0.020344163785744662,0.032057720925568654,2.5753965377807617,0.05297059435397387,0.11229314684867861,0.03925704580348074,0.9992306152539097,False,False
10,attention,valid,69120,0,0.01914486670899241,0.025435327852124334,1.0577163696289062,0.04878956228494644,0.06801107697188855,0.024603191969798738,0.9996982468352109,True,True
10,attention,all,98304,0,0.021247644514960307,0.03170527924016469,1.2644472122192383,0.054621950536966314,0.10790195822715763,0.032404658857184146,0.9994750611230331,False,False
10,encoder,valid,69120,0,0.017835461382572845,0.023368147438284484,0.30701929330825806,0.04649236798286439,0.06327661514282223,0.03065058440362422,0.9995301885728204,True,True
10,encoder,all,98304,0,0.021650105570359884,0.034314556700649854,2.6998977661132812,0.05656611621379852,0.12372798838652675,0.04025794534213306,0.9991917953459207,False,False
11,attention,valid,69120,0,0.01958035047904458,0.02584706086579163,0.5931713581085205,0.05002966588363053,0.0690210431814193,0.023067898442947998,0.9997353553993007,True,True
11,attention,all,98304,0,0.021608063370164743,0.03369060451726411,3.1654186248779297,0.05525301191955803,0.10699370741844179,0.027806775616392856,0.9996164950013146,False,False
11,encoder,valid,69120,0,0.01443947029215451,0.018516881721328485,0.1594163179397583,0.03679600358009339,0.05096476651728146,0.034961236601920326,0.9993892794297883,True,True
11,encoder,all,98304,0,0.014619175134528817,0.02036994632251573,0.3935427665710449,0.03820779584348201,0.06388558156788349,0.041480499994553416,0.9991408941961833,False,True
