layer,stage,seconds,min,max,mean,nonfinite,file
0,attention,11.1728834,-61.1265488,6.36823177,-0.0235301024,0,attention_layer_00.f32
0,encoder,11.7962749,-9.42562008,2.85454035,-0.0229367481,0,encoder_layer_00.f32
1,attention,11.1731257,-59.0695686,3.77663851,-0.0347681852,0,attention_layer_01.f32
1,encoder,11.7929685,-11.0805349,3.59529448,-0.0193299304,0,encoder_layer_01.f32
2,attention,11.1639745,-48.2852631,5.0035882,-0.0333349006,0,attention_layer_02.f32
2,encoder,11.7804845,-14.785183,3.5358429,-0.0206949223,0,encoder_layer_02.f32
3,attention,11.1405282,-93.1889267,4.07672977,-0.0241874414,0,attention_layer_03.f32
3,encoder,11.8132945,-12.5463791,3.45138717,-0.0285471769,0,encoder_layer_03.f32
4,attention,11.1409673,-102.373917,3.8430903,-0.0317153161,0,attention_layer_04.f32
4,encoder,11.7552694,-14.056078,3.2729001,-0.0261964466,0,encoder_layer_04.f32
5,attention,11.1832046,-93.2672958,4.3678174,-0.0283579473,0,attention_layer_05.f32
5,encoder,11.79825,-15.0284538,3.74268222,-0.028034197,0,encoder_layer_05.f32
6,attention,11.1828841,-92.209259,4.3322525,-0.0314117745,0,attention_layer_06.f32
6,encoder,11.7929018,-15.3530779,3.87318516,-0.0286615169,0,encoder_layer_06.f32
7,attention,11.1287263,-90.9371185,5.3174367,-0.0391386834,0,attention_layer_07.f32
7,encoder,11.7869555,-20.0107574,3.45914364,-0.0304517155,0,encoder_layer_07.f32
8,attention,11.1338004,-84.9861221,6.70518017,-0.039656542,0,attention_layer_08.f32
8,encoder,11.7511145,-23.8593025,3.75132442,-0.0310886715,0,encoder_layer_08.f32
9,attention,11.1605695,-49.2928352,13.1455011,-0.0342416248,0,attention_layer_09.f32
9,encoder,11.777227,-25.6410332,3.76066566,-0.0323450467,0,encoder_layer_09.f32
10,attention,11.1179492,-45.424324,18.1063385,-0.0272722964,0,attention_layer_10.f32
10,encoder,11.7323253,-30.272541,3.76783586,-0.0371109117,0,encoder_layer_10.f32
11,attention,11.1387753,-40.5220642,6.14516115,-0.0500619071,0,attention_layer_11.f32
11,encoder,11.7599098,-9.52834034,3.55686998,-0.0108038215,0,encoder_layer_11.f32
